id,Title,SKU,"Product Type",parent_id,"Κατηγορίες Προϊόντων"
6425,"TONER TN312M KONICA MINOLTA BIZHUB C300/352 MAGENTA ORIGINAL",100-200-1-0026,simple,0,"KONICA MINOLTA>BIZHUB C300>TONERS FOR BIZHUB C300>ORIGINAL TONERS FOR BIZHUB C300|KONICA MINOLTA>BIZHUB C352>TONERS FOR BIZHUB C352>ORIGINAL TONERS FOR BIZHUB C352"
6427,"TONER TN312Y KONICA MINOLTA BIZHUB C300/352 YELLOW ORIGINAL",100-200-1-0027,simple,0,"KONICA MINOLTA>BIZHUB C300>TONERS FOR BIZHUB C300>ORIGINAL TONERS FOR BIZHUB C300|KONICA MINOLTA>BIZHUB C352>TONERS FOR BIZHUB C352>ORIGINAL TONERS FOR BIZHUB C352"
6429,"TONER TN616K KONICA MINOLTA BIZHUB PRESS C6000/7000 BLACK ORIGINAL",100-200-1-0034,simple,0,"KONICA MINOLTA>BIZHUB C6000>TONERS FOR BIZHUB C6000>ORIGINAL TONERS FOR BIZHUB C6000|KONICA MINOLTA>BIZHUB C7000>TONERS FOR BIZHUB C7000>ORIGINAL TONERS FOR BIZHUB C7000"
6431,"TONER TN616C KONICA MINOLTA BIZHUB PRESS C6000/7000 CYAN ORIGINAL",100-200-1-0035,simple,0,"KONICA MINOLTA>BIZHUB C6000>TONERS FOR BIZHUB C6000>ORIGINAL TONERS FOR BIZHUB C6000|KONICA MINOLTA>BIZHUB C7000>TONERS FOR BIZHUB C7000>ORIGINAL TONERS FOR BIZHUB C7000"
6433,"TONER TN616M KONICA MINOLTA BIZHUB PRESS C6000/7000 MAGENTA ORIGINAL",100-200-1-0036,simple,0,"KONICA MINOLTA>BIZHUB C6000>TONERS FOR BIZHUB C6000>ORIGINAL TONERS FOR BIZHUB C6000|KONICA MINOLTA>BIZHUB C7000>TONERS FOR BIZHUB C7000>ORIGINAL TONERS FOR BIZHUB C7000"
6435,"TONER TN616Y KONICA MINOLTA BIZHUB PRESS C6000/7000 YELLOW ORIGINAL",100-200-1-0037,simple,0,"KONICA MINOLTA>BIZHUB C6000>TONERS FOR BIZHUB C6000>ORIGINAL TONERS FOR BIZHUB C6000|KONICA MINOLTA>BIZHUB C7000>TONERS FOR BIZHUB C7000>ORIGINAL TONERS FOR BIZHUB C7000"
6437,"TONER TN911 KONICA MINOLTA BIZHUB PRO 950 ORIGINAL",100-200-1-0038,simple,0,"KONICA MINOLTA>BIZHUB PRO 950>TONERS FOR BIZHUB PRO 950>ORIGINAL TONERS FOR BIZHUB PRO 950"
6439,"TONER TN415 KONICA MINOLTA BIZHUB 42 ORIGINAL",100-200-1-0039,simple,0,"KONICA MINOLTA>BIZHUB 42>TONERS FOR BIZHUB 42>ORIGINAL TONERS FOR BIZHUB 42"
6441,"TONER TN320 KONICA MINOLTA BIZHUB 36 ORIGINAL",100-200-1-0040,simple,0,"KONICA MINOLTA>BIZHUB 36>TONERS FOR BIZHUB 36>ORIGINAL TONERS FOR BIZHUB 36|Προτεινόμενα Προϊόντα"
6443,"DRUM DR114 KONICA MINOLTA BIZHUB 162/163/210/215, KONICA 7115/7216, MINOLTA DI152/DI183 ORIGINAL",100-201-1-0001,simple,0,"DEVELOP>1531ID>DRUMS FOR 1531ID>ORIGINAL DRUMS FOR 1531ID|DEVELOP>1650ID>DRUMS FOR 1650ID>ORIGINAL DRUMS FOR 1650ID|DEVELOP>1831ID>DRUMS FOR 1831ID>ORIGINAL DRUMS FOR 1831ID|DEVELOP>2050ID>DRUMS FOR 2050ID>ORIGINAL DRUMS FOR 2050ID|KONICA MINOLTA>BIZHUB 162>DRUMS FOR BIZHUB 162>ORIGINAL DRUMS FOR BIZHUB 162|KONICA MINOLTA>BIZHUB 163>DRUMS FOR BIZHUB 163>ORIGINAL DRUMS FOR BIZHUB 163|KONICA MINOLTA>BIZHUB 164>DRUMS FOR BIZHUB 164>ORIGINAL DRUMS FOR BIZHUB 164|KONICA MINOLTA>BIZHUB 210>DRUMS FOR BIZHUB 210>ORIGINAL DRUMS FOR BIZHUB 210|KONICA MINOLTA>BIZHUB 211>DRUMS FOR BIZHUB 211>ORIGINAL DRUMS FOR BIZHUB 211|DEVELOP>INEO 161>DRUMS FOR INEO 161>ORIGINAL DRUMS FOR INEO 161|DEVELOP>INEO 163>DRUMS FOR INEO 163>ORIGINAL DRUMS FOR INEO 163|DEVELOP>INEO 164>DRUMS FOR INEO 164>ORIGINAL DRUMS FOR INEO 164|DEVELOP>INEO 211>DRUMS FOR INEO 211>ORIGINAL DRUMS FOR INEO 211|DEVELOP>INEO 213>DRUMS FOR INEO 213>ORIGINAL DRUMS FOR INEO 213|KONICA MINOLTA>KONICA 7115>DRUMS FOR KONICA 7115>ORIGINAL DRUMS FOR KONICA 7115|KONICA MINOLTA>KONICA 7118>DRUMS FOR KONICA 7118>ORIGINAL DRUMS FOR KONICA 7118|KONICA MINOLTA>KONICA 7216>DRUMS FOR KONICA 7216>ORIGINAL DRUMS FOR KONICA 7216|KONICA MINOLTA>KONICA 7220>DRUMS FOR KONICA 7220>ORIGINAL DRUMS FOR KONICA 7220|KONICA MINOLTA>MINOLTA DI152>DRUMS FOR MINOLTA DI152>ORIGINAL DRUMS FOR MINOLTA DI152|KONICA MINOLTA>MINOLTA Di1611>DRUMS FOR MINOLTA DI1611>ORIGINAL DRUMS FOR MINOLTA DI1611|KONICA MINOLTA>MINOLTA DI183>DRUMS FOR MINOLTA DI183>ORIGINAL DRUMS FOR MINOLTA DI183|KONICA MINOLTA>MINOLTA DI2011>DRUMS FOR MINOLTA DI2011>ORIGINAL DRUMS FOR MINOLTA DI2011"
6445,"TONER TN512Y KONICA MINOLTA BIZHUB C454/C554 YELLOW ORIGINAL",100-200-1-0156,simple,0,"KONICA MINOLTA>BIZHUB C454>TONERS FOR BIZHUB C454>ORIGINAL TONERS FOR BIZHUB C454|KONICA MINOLTA>BIZHUB C554>TONERS FOR BIZHUB C554>ORIGINAL TONERS FOR BIZHUB C554"
6447,"DRUM TYPE 305 MINOLTA Di2510/3010/3510 ORIGINAL",100-201-1-0003,simple,0,"KONICA MINOLTA>MINOLTA DI2510>DRUMS FOR MINOLTA DI2510>ORIGINAL DRUMS FOR MINOLTA DI2510|KONICA MINOLTA>MINOLTA DI3010>DRUMS FOR MINOLTA DI3010>ORIGINAL DRUMS FOR MINOLTA DI3010|KONICA MINOLTA>MINOLTA DI3510>DRUMS FOR MINOLTA DI3510>ORIGINAL DRUMS FOR MINOLTA DI3510"
